Area,Neighborhoods,Latitude,Longitude,City
Central,Cantonment area,12.972442,77.580643,Bangalore
Central,Domlur,12.9609917,77.6387256,Bangalore
Central,Indiranagar,12.971891,77.641151,Bangalore
Central,Jeevanbheemanagar,12.9629,77.6595,Bangalore
Central,Malleswaram,13.0031,77.5643,Bangalore
Central,Pete area,12.9627,77.5758,Bangalore
Central,Rajajinagar,12.9901,77.5525,Bangalore
Central,Sadashivanagar,13.0068,77.5813,Bangalore
Central,Seshadripuram,12.9935,77.5787,Bangalore
Central,Shivajinagar,12.9857,77.6057,Bangalore
Central,Ulsoor,12.9817,77.6286,Bangalore
Central,Vasanth Nagar,12.9911,77.592,Bangalore
Eastern,Bellandur,12.926,77.6762,Bangalore
Eastern,CV Raman Nagar,12.9855,77.6639,Bangalore
Eastern,Hoodi,12.9922,77.7159,Bangalore
Eastern,Krishnarajapuram,13.004,77.6878,Bangalore
Eastern,Mahadevapura,12.9913,77.6874,Bangalore
Eastern,Marathahalli,12.9592,77.6974,Bangalore
Eastern,Varthur,12.9389,77.7412,Bangalore
Eastern,Whitefield,12.9698,77.7499,Bangalore
NorthEastern,Banaswadi,13.012,77.6471,Bangalore
NorthEastern,HBR Layout,13.0377,77.6288,Bangalore
NorthEastern,Horamavu,13.0251,77.6597,Bangalore
NorthEastern,Kammanahalli,13.0159,77.6379,Bangalore
NorthEastern,Lingarajapuram,13.0084,77.6306,Bangalore
NorthEastern,Ramamurthy Nagar,13.0184,77.6781,Bangalore
Northern,Hebbal,13.0358,77.597,Bangalore
Northern,Jalahalli,13.0528,77.5419,Bangalore
Northern,Mathikere,13.0334,77.564,Bangalore
Northern,Peenya,13.0285,77.5197,Bangalore
Northern,R. T. Nagar,13.0196,77.5968,Bangalore
Northern,Vidyaranyapura,13.0858,77.5561,Bangalore
Northern,Yelahanka,13.1005,77.594,Bangalore
Northern,Yeshwanthpur,13.028,77.5409,Bangalore
SouthEastern,Bommanahalli,12.8984,77.6179,Bangalore
SouthEastern,Bommasandra,12.8168,77.6989,Bangalore
SouthEastern,BTM Layout,12.9166,77.6101,Bangalore
SouthEastern,Electronic City,12.840711,77.676369,Bangalore
SouthEastern,HSR Layout,12.9081,77.6476,Bangalore
SouthEastern,Koramangala,12.9279,77.6271,Bangalore
SouthEastern,Madiwala,12.9226,77.6174,Bangalore
Southern,Banashankari,12.9255,77.5468,Bangalore
Southern,Basavanagudi,12.9421,77.5754,Bangalore
Southern,Girinagar,12.9386,77.544,Bangalore
Southern,J. P. Nagar,12.9105,77.5857,Bangalore
Southern,Jayanagar,12.925,77.5938,Bangalore
Southern,Kumaraswamy Layout,12.9038,77.5618,Bangalore
Southern,Padmanabhanagar,12.9156,77.5568,Bangalore
Southern,Uttarahalli,12.907,77.5521,Bangalore
SouthernSuburbs,Anjanapura,12.8604,77.5612,Bangalore
SouthernSuburbs,Arekere,12.8875,77.597,Bangalore
SouthernSuburbs,Begur,12.8788,77.6377,Bangalore
SouthernSuburbs,Gottigere,12.8552,77.5869,Bangalore
SouthernSuburbs,Hulimavu,12.8789,77.609,Bangalore
SouthernSuburbs,Kothnur,12.8734,77.582,Bangalore
Western,Basaveshwaranagar,12.9886,77.5383,Bangalore
Western,Kamakshipalya,12.9887,77.5271,Bangalore
Western,Kengeri,12.8996,77.4827,Bangalore
Western,Mahalakshmi Layout,13.0146,77.5514,Bangalore
Western,Nagarbhavi,12.9599,77.5083,Bangalore
Western,Nandini Layout,13.016,77.5338,Bangalore
Western,Nayandahalli,12.9411,77.5248,Bangalore
Western,Rajarajeshwari Nagar,12.9242,77.5191,Bangalore
Western,Vijayanagar,12.9719,77.5299,Bangalore